# Abscissas and weights for Gauss-Laguerre integration
7.0539889691988447e-02 	 1.6874680185113619e-01
3.7212681800161185e-01 	 2.9125436200606081e-01
9.1658210248327343e-01 	 2.6668610286699956e-01
1.7073065310283442e+00 	 1.6600245326950952e-01
2.7491992553094327e+00 	 7.4826064668792144e-02
4.0489253138508863e+00 	 2.4964417309283213e-02
5.6151749708616165e+00 	 6.2025508445722379e-03
7.4590174536710636e+00 	 1.1449623864769082e-03
9.5943928695810961e+00 	 1.5574177302781202e-04
1.2038802546964316e+01 	 1.5401440865224922e-05
1.4814293442630738e+01 	 1.0864863665179820e-06
1.7948895520519375e+01 	 5.3301209095567120e-08
2.1478788240285009e+01 	 1.7579811790505843e-09
2.5451702793186904e+01 	 3.7255024025123336e-11
2.9932554631700611e+01 	 4.7675292515781725e-13
3.5013434240479000e+01 	 3.3728442433624370e-15
4.0833057056728570e+01 	 1.1550143395004007e-17
4.7619994047346502e+01 	 1.5395221405823429e-20
5.5810795750063896e+01 	 5.2864427255691867e-24
6.6524416525615749e+01 	 1.6564566124990383e-28
